,USAGE,season,period,cost,storage_available,storage_send,grid_store,purchase_peak,purchase_offpeak,grid_demand_peak,grid_demand_offpeak
2011-01-01 08:00:00,1.002,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.002,0.0,1.002
2011-01-01 09:00:00,0.867,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.867,0.0,0.867
2011-01-01 10:00:00,0.787,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.787,0.0,0.787
2011-01-01 11:00:00,0.721,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.721,0.0,0.721
2011-01-01 12:00:00,0.75,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.75,0.0,0.75
2011-01-01 13:00:00,0.872,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.872,0.0,0.872
2011-01-01 14:00:00,0.868,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.868,0.0,0.868
2011-01-01 15:00:00,0.892,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.892,0.0,0.892
2011-01-01 16:00:00,1.008,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.008,0.0,1.008
2011-01-01 17:00:00,1.129,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.129,0.0,1.129
2011-01-01 18:00:00,1.107,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.107,0.0,1.107
2011-01-01 19:00:00,1.103,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.103,0.0,1.103
2011-01-01 20:00:00,1.075,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.075,0.0,1.075
2011-01-01 21:00:00,1.061,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.061,0.0,1.061
2011-01-01 22:00:00,0.9490000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.9490000000000001,0.0,0.9490000000000001
2011-01-01 23:00:00,0.9530000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.9530000000000001,0.0,0.9530000000000001
2011-01-02 00:00:00,1.057,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.057,0.0,1.057
2011-01-02 01:00:00,1.449,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.449,0.0,1.449
2011-01-02 02:00:00,1.5090000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.5090000000000001,0.0,1.5090000000000001
2011-01-02 03:00:00,1.446,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.446,0.0,1.446
2011-01-02 04:00:00,1.4000000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.4000000000000001,0.0,1.4000000000000001
2011-01-02 05:00:00,1.2650000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.2650000000000001,0.0,1.2650000000000001
2011-01-02 06:00:00,1.043,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.043,0.0,1.043
2011-01-02 07:00:00,0.864,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.864,0.0,0.864
2011-01-02 08:00:00,0.853,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.853,0.0,0.853
2011-01-02 09:00:00,0.762,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.762,0.0,0.762
2011-01-02 10:00:00,0.749,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.749,0.0,0.749
2011-01-02 11:00:00,0.716,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.716,0.0,0.716
2011-01-02 12:00:00,0.704,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.704,0.0,0.704
2011-01-02 13:00:00,0.794,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.794,0.0,0.794
2011-01-02 14:00:00,0.926,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.926,0.0,0.926
2011-01-02 15:00:00,1.041,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.041,0.0,1.041
2011-01-02 16:00:00,1.111,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.111,0.0,1.111
2011-01-02 17:00:00,1.193,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.193,0.0,1.193
2011-01-02 18:00:00,1.182,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.182,0.0,1.182
2011-01-02 19:00:00,1.149,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.149,0.0,1.149
2011-01-02 20:00:00,1.111,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.111,0.0,1.111
2011-01-02 21:00:00,1.014,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.014,0.0,1.014
2011-01-02 22:00:00,0.967,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,0.967,0.0,0.967
2011-01-02 23:00:00,1.0050000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.0050000000000001,0.0,1.0050000000000001
2011-01-03 00:00:00,1.09,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.09,0.0,1.09
2011-01-03 01:00:00,1.405,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.405,0.0,1.405
2011-01-03 02:00:00,1.5,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.5,0.0,1.5
2011-01-03 03:00:00,1.4040000000000001,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.4040000000000001,0.0,1.4040000000000001
2011-01-03 04:00:00,1.314,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.314,0.0,1.314
2011-01-03 05:00:00,1.247,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.247,0.0,1.247
2011-01-03 06:00:00,1.089,non_summer,offpeak,0.05209,6.0,0.0,0.0,0.0,1.089,0.0,1.089
2011-01-03 07:00:00,0.924,non_summer,peak,0.18266,6.0,0.924,0.0,0.0,0.0,0.0,0.0
2011-01-03 08:00:00,0.808,non_summer,peak,0.18266,5.076,0.808,0.0,0.0,0.0,0.0,0.0
2011-01-03 09:00:00,0.748,non_summer,peak,0.18266,4.268,0.748,0.0,0.0,0.0,0.0,0.0
2011-01-03 10:00:00,0.714,non_summer,peak,0.18266,3.5199999999999996,0.714,0.0,0.0,0.0,0.0,0.0
